Безударные гласные 1
зал_зать на дерево ;и ;е ;е
зал_зать рану ;и ;е ;и
зап_вать куплет ;е ;и ;е
зап_вать лекарство ;и ;е ;и
нав_вать сны ;е ;и ;е
нав_вать локоны ;и ;е ;и
обв_вала лицо веером ;е ;и ;е
обв_вала вокруг головы ;и ;е ;и
разв_вались на ветру ;е ;и ;е
разв_вали промышленность ;и ;е ;и
ударился оз_мь ;е ;и ;е
созревает оз_мь ;и ;е ;и
пол_скать белье ;о ;а ;о
пол_скать котенка ;а ;о ;а
посв_тить фонариком ;е ;я ;е
посв_тить жизнь ;я ;е ;я
сп_шите видеть ;е ;и ;е
сп_шите данные ;и ;е ;и
ч_стота посещений ;а ;и ;а
ч_стота помещений ;и ;а ;и
ум_лять о помощи ;о ;а ;о
ум_лять значение ;а ;о ;а
разв_вается стяг ;е ;и ;е
разв_вается сюжет ;и ;е ;и
пос_деть на лужайке ;и ;е ;и
пос_деть от горя ;е ;и ;е
цветы стали ув_дать ;я ;и ;я
ув_дать чудо ;я ;и ;и
прим_рять костюм ;е ;и ;е
прим_рять спорщиков ;и ;е ;и
пенятся в_лы ;а ;о ;а
устало брели в_лы ;о ;а ;о
прор_дили морковь ;е ;я ;е
зар_дили пушки ;я ;е ;я
нак_лить железо ;а ;о ;а
нак_лоть дров ;о ;а ;о
цветущая д_лина ;о ;а ;о
быть вд_леке от дома ;а ;о ;а
